entropy,file_size,num_strings,label
3.85,4986660,1649,0
3.78,2841962,4147,0
5.57,520231,187,1
5.84,2306413,95,1
3.86,4188753,4886,0
2.81,357976,4908,0
6.34,5272245,138,1
6.73,7751761,78,1
3.25,258839,2120,0
3.67,4800069,1758,0
6.28,451095,134,1
5.81,7716692,168,1
3.54,549212,3552,0
3.91,138995,3397,0
4.1,4657969,2796,0
7.11,5332441,28,1
2.93,1324875,1749,0
7.37,9903167,156,1
6.89,3603324,76,1
6.43,1271276,78,1
6.57,278911,78,1
6.86,7341360,44,1
6.65,1718381,52,1
3.66,1781625,308,0
5.64,7493188,166,1
3.22,2123926,1846,0
4.45,2835747,4638,0
4.4,3181369,384,0
4.04,3743708,2304,0
4.1,3969861,4126,0
4.32,952121,526,0
3.46,4043674,2728,0
5.77,1903069,21,1
6.78,1877630,110,1
2.8,242454,2112,0
3.6,2014762,3325,0
3.99,4777089,4189,0
2.89,4544520,841,0
3.23,362402,1761,0
3.33,3437973,1299,0
5.57,7009289,199,1
6.34,4668763,179,1
2.96,2414398,4588,0
7.66,1489659,40,1
6.12,3415239,193,1
4.22,2010003,3380,0
4.36,4478371,3156,0
7.54,3781682,99,1
3.55,1050769,1404,0
7.21,6587747,82,1
6.88,2673729,120,1
7.13,9701643,31,1
6.23,2790322,93,1
6.2,7743239,161,1
7.64,7271829,41,1
4.33,3361750,3806,0
7.78,5692099,162,1
7.86,8832825,183,1
3.34,344082,524,0
5.72,1960463,76,1
7.9,7300908,183,1
6.84,4896925,147,1
6.56,8353293,66,1
3.9,1925354,1508,0
7.19,2364331,95,1
3.16,418630,1461,0
2.57,4749795,4256,0
6.1,3671193,160,1
3.47,4541480,488,0
6.18,9146202,168,1
2.85,2164179,1118,0
2.77,2901092,494,0
6.38,8311503,146,1
2.86,3976679,4985,0
5.84,3183040,197,1
3.24,1735835,2977,0
7.87,8003249,73,1
3.24,2042269,314,0
2.67,4005613,208,0
5.85,9126603,61,1
6.57,8943376,88,1
6.28,742773,106,1
3.99,1861339,2389,0
6.82,3427155,101,1
6.44,5782127,172,1
3.37,188616,2536,0
6.32,5457721,114,1
2.56,2568686,3343,0
4.4,1682117,2081,0
3.49,451311,4693,0
5.64,3586190,74,1
6.8,451452,44,1
3.66,4003232,4058,0
3.36,228552,2370,0
4.41,379406,4104,0
3.93,3698968,4322,0
3.92,2657275,1995,0
3.55,4772718,1376,0
5.62,5073043,27,1
6.13,6206784,112,1
3.16,3952869,4583,0
4.29,3881948,2465,0
6.49,5767455,67,1
7.27,3535914,137,1
3.43,1359803,247,0
6.92,932729,107,1
5.65,5281293,98,1
7.24,7244641,100,1
7.26,2635935,85,1
6.99,4826109,117,1
7.34,6823305,66,1
4.27,3022441,2701,0
2.77,923564,1614,0
7.64,5045875,100,1
2.68,2861284,498,0
3.96,3056461,3619,0
4.23,4390132,1418,0
6.78,3239024,149,1
2.54,4694479,4550,0
4.41,1757880,1461,0
4.03,4554025,4278,0
4.12,4528948,1986,0
5.82,9131975,196,1
7.5,8380792,164,1
6.13,2736672,129,1
7.45,8529823,174,1
4.22,4685018,4554,0
7.31,5426682,109,1
3.93,1123549,2942,0
6.74,250038,53,1
5.56,8961108,162,1
4.21,1312134,1971,0
6.81,6035450,171,1
3.18,1771177,2831,0
6.83,1545318,187,1
6.09,7085689,132,1
6.66,3296441,103,1
2.73,3966781,639,0
7.3,5649104,38,1
3.55,4515413,101,0
7.23,1731158,106,1
2.56,2700839,4031,0
7.61,2160938,29,1
2.75,187273,4514,0
6.35,9018599,152,1
5.74,1051026,175,1
7.73,3835388,60,1
6.87,3392095,122,1
6.42,5135061,111,1
6.6,703074,152,1
3.9,2993984,512,0
7.21,4131351,99,1
4.21,3227953,407,0
5.86,3447268,143,1
6.1,5832851,59,1
8.0,3664191,168,1
3.58,385945,4516,0
6.43,3796575,153,1
3.16,874054,4570,0
7.41,9483152,90,1
2.97,2926271,3578,0
7.35,4870094,140,1
6.69,2546595,168,1
7.37,7252989,124,1
4.06,4418378,4312,0
7.34,4699994,68,1
4.08,96608,2780,0
2.99,203190,3354,0
2.79,879092,1620,0
5.82,730362,70,1
6.87,4483563,83,1
6.36,5091618,36,1
3.4,4788409,167,0
7.64,9963451,187,1
6.86,4883729,196,1
3.62,113925,2238,0
6.4,4309967,188,1
7.78,9870725,88,1
7.59,6301171,132,1
6.01,6858580,47,1
5.8,3752550,131,1
3.44,3829679,2503,0
4.29,4452919,1210,0
4.36,4649514,2893,0
4.34,205641,3460,0
4.41,3244171,176,0
3.35,2230192,3192,0
5.9,8425304,89,1
7.51,6022152,135,1
3.58,1099276,2819,0
3.55,876782,4133,0
7.4,6536875,126,1
3.98,1150336,4080,0
5.81,8354633,98,1
5.92,8513235,142,1
5.67,7115629,145,1
7.58,3965465,24,1
2.64,1934320,246,0
5.89,7886245,183,1
2.83,2111286,1596,0
3.8,1634933,4294,0
2.93,3842499,2563,0
7.39,2664757,29,1
4.09,3231009,4759,0
3.39,213783,3827,0
2.56,3958252,640,0
6.11,5500554,72,1
7.5,5770948,136,1
6.92,9254110,190,1
5.84,2184805,175,1
6.92,6175280,155,1
7.86,7693569,190,1
2.57,204485,4528,0
2.54,2359661,294,0
2.55,4667730,3978,0
3.65,4458381,4557,0
6.26,2157836,126,1
6.63,5499075,157,1
2.54,4031284,3467,0
4.25,1188838,4468,0
5.78,1374304,37,1
7.99,6771484,145,1
5.57,5116135,99,1
4.44,3032877,3495,0
7.06,1214809,142,1
5.96,4037039,112,1
6.43,8272354,36,1
6.67,1119581,99,1
7.97,6809929,143,1
2.5,2544501,4357,0
7.48,6815060,87,1
7.69,739080,182,1
7.9,4771823,152,1
4.26,3388050,520,0
6.94,1641568,162,1
3.49,2427694,4293,0
5.74,5907360,154,1
3.53,1719992,4414,0
5.78,1205452,110,1
3.72,1052033,780,0
7.73,2937453,153,1
7.94,5433015,68,1
6.67,499679,174,1
3.97,1670287,459,0
6.84,8971586,119,1
2.76,2075007,4796,0
6.46,2800191,66,1
6.91,887972,179,1
7.9,5458089,182,1
7.72,2378438,48,1
3.13,741937,1019,0
5.64,5336218,45,1
4.08,1620499,4628,0
4.11,4904334,4086,0
3.94,719531,2308,0
2.56,3868267,2020,0
6.27,9211319,29,1
6.78,4451681,99,1
2.94,2870744,1979,0
3.72,174793,2392,0
7.23,5921303,157,1
3.49,1630149,440,0
7.31,8488904,30,1
6.68,3821321,118,1
4.18,4948864,750,0
3.35,4478460,3238,0
2.59,3722305,1050,0
7.93,8526921,143,1
3.87,3337825,3308,0
2.7,1851544,2600,0
5.7,387679,114,1
5.97,3467527,54,1
3.45,620936,1934,0
6.12,1473145,118,1
2.84,2532456,4094,0
4.26,3904420,781,0
7.4,7914882,140,1
7.19,2840646,134,1
7.67,5967792,40,1
6.04,5824796,67,1
7.45,8720838,82,1
3.74,303838,4283,0
2.83,585138,3240,0
4.31,469166,3839,0
5.67,8621594,39,1
7.8,7219532,126,1
3.96,13235,830,0
7.88,5737271,25,1
3.92,2722231,3472,0
6.95,2679325,139,1
3.52,2355266,2658,0
2.8,3212660,3311,0
3.75,1381272,1249,0
4.26,2775659,3910,0
5.88,2707105,176,1
3.38,4521745,412,0
4.3,4050756,3315,0
6.17,5996079,188,1
5.91,7027023,199,1
5.86,1448895,166,1
2.52,4887151,3226,0
3.86,2334951,3061,0
5.98,5707222,122,1
3.38,940030,168,0
6.23,9426930,87,1
7.04,9659736,48,1
6.44,7743236,130,1
3.14,3665060,4393,0
3.28,4415432,4404,0
3.71,2638203,4976,0
3.22,1994847,1583,0
4.18,3014087,3647,0
6.57,9660287,49,1
6.83,9375326,76,1
6.65,1111406,191,1
7.24,3986262,131,1
6.95,2886247,121,1
6.13,2167418,39,1
4.19,1470873,2685,0
3.67,3081884,1673,0
7.19,7532638,56,1
3.56,3825727,2312,0
2.98,3963777,983,0
4.44,2775014,3626,0
7.39,6636573,140,1
2.57,3901560,1463,0
7.83,1847159,133,1
5.82,234929,129,1
4.49,2624715,260,0
7.79,3166579,32,1
7.7,4990086,190,1
4.38,4255595,3577,0
2.53,2706688,3259,0
6.4,6511472,112,1
7.2,6787305,51,1
4.41,1617896,1656,0
5.87,6735478,38,1
5.77,8826807,80,1
6.68,9295150,102,1
3.36,4650619,3918,0
3.26,2969321,691,0
3.66,1736611,4742,0
7.9,6008565,139,1
4.23,765621,1587,0
3.93,2092961,1378,0
2.71,1370027,3271,0
4.24,823387,3866,0
4.3,331095,2039,0
3.94,3040641,1939,0
6.23,2087432,190,1
6.76,6748485,198,1
2.79,4448304,4054,0
7.58,5073853,145,1
7.19,6147058,120,1
3.83,2915697,1301,0
4.11,3680202,2577,0
3.7,4406271,4566,0
6.38,5819792,189,1
5.85,6558009,99,1
4.18,3157777,1728,0
2.75,4676666,3067,0
3.96,3765300,3060,0
7.04,4450288,20,1
4.31,4430236,1774,0
5.96,6105200,53,1
7.95,8341662,105,1
7.52,1598533,138,1
6.57,787097,66,1
2.64,3208993,1188,0
4.33,4723628,3069,0
3.16,4073014,658,0
2.76,1170104,3598,0
3.08,3841681,883,0
4.44,104300,3666,0
5.77,4902188,146,1
4.26,12319,2974,0
7.19,464493,199,1
4.21,3365330,1932,0
3.96,2638080,1983,0
7.37,4314947,132,1
7.8,313675,109,1
3.96,4691259,4296,0
3.66,237893,4838,0
5.72,4792797,89,1
3.85,1842964,2045,0
3.24,20279,1315,0
2.6,1546253,1505,0
3.44,396732,4805,0
4.29,2740813,4191,0
5.99,9848089,61,1
7.79,273382,133,1
2.85,3862668,4932,0
5.97,3529155,143,1
6.17,5695767,61,1
5.87,353099,87,1
2.67,710546,3011,0
6.64,2785064,172,1
5.83,7135757,103,1
7.6,6921719,183,1
6.3,733634,26,1
2.66,453188,2516,0
5.6,3132025,187,1
6.07,4298606,117,1
7.1,7931188,178,1
7.46,495639,116,1
3.41,1785816,2066,0
6.38,5424974,109,1
3.06,2428802,184,0
2.99,1266743,4674,0
3.29,2283519,2579,0
3.25,3524331,819,0
6.87,2056968,175,1
6.64,5605246,177,1
4.06,644878,1045,0
7.7,2284296,160,1
2.65,801865,3537,0
3.7,1520814,3627,0
3.49,2355489,4520,0
3.3,4232062,3969,0
5.63,3763007,37,1
5.57,9579483,90,1
7.87,8676846,191,1
4.05,3629884,2330,0
5.68,4432940,89,1
6.45,5485721,138,1
2.86,1371117,3290,0
3.6,4942343,4416,0
3.49,3180789,2321,0
3.94,4840599,295,0
6.91,2330656,133,1
6.33,4579381,190,1
7.38,5993818,37,1
7.34,5176277,86,1
6.57,863299,176,1
7.0,3413537,21,1
4.5,1521362,4740,0
4.39,4301076,958,0
7.12,5086740,135,1
3.24,4448863,2612,0
2.8,1817894,4098,0
3.82,44171,2534,0
3.67,2597512,740,0
3.66,4056166,207,0
4.39,3579228,4230,0
6.52,5078930,49,1
4.24,1996137,4962,0
6.56,2448799,180,1
5.58,8540098,36,1
5.85,1408809,31,1
3.13,3018529,3170,0
2.93,2113494,1142,0
7.62,5508477,122,1
7.6,6384695,57,1
4.28,3385823,244,0
6.14,1975411,180,1
6.7,6998626,26,1
3.37,1956300,2092,0
5.57,2973152,38,1
7.23,3555440,136,1
2.73,3768386,3517,0
5.89,1993464,107,1
5.93,4363004,34,1
2.77,1748904,4301,0
7.56,5895524,104,1
7.01,9326772,63,1
6.43,9681406,63,1
3.8,2526391,2955,0
7.11,9595618,80,1
4.14,141937,1400,0
3.25,1098811,147,0
7.58,3952982,92,1
4.1,1024643,1044,0
3.75,3675799,1928,0
3.47,16148,4410,0
4.14,4370743,1113,0
6.86,1879676,109,1
2.89,2116158,1785,0
4.47,866306,223,0
2.85,1626942,1434,0
7.37,2600331,95,1
3.08,1701622,898,0
7.18,6549563,58,1
4.43,1688139,663,0
4.2,202608,431,0
6.03,7551172,165,1
3.94,2101905,3321,0
4.26,1374286,2800,0
3.67,3092795,2877,0
7.45,6094816,40,1
5.6,435426,77,1
4.21,4468475,1429,0
7.4,925192,101,1
6.13,380988,59,1
3.37,3891485,4836,0
6.41,6360698,70,1
7.42,9732922,77,1
3.4,2922969,655,0
5.7,9872853,57,1
4.34,1330275,4367,0
6.54,8780460,115,1
3.6,1692965,2194,0
3.92,4995676,908,0
7.01,2060654,104,1
6.21,2997198,178,1
2.63,1426909,558,0
2.6,2248752,2359,0
7.45,6807419,27,1
2.69,1395297,1655,0
3.3,1804417,1358,0
3.52,2149781,1381,0
2.95,1764714,1143,0
6.99,2650029,54,1
6.48,2022819,136,1
6.34,7819396,68,1
7.26,8145510,174,1
7.39,1811895,38,1
7.01,3381203,92,1
3.8,2695436,779,0
4.07,3497741,1052,0
3.5,2371007,2473,0
3.17,2113357,3458,0
2.79,206280,3658,0
2.57,764995,4041,0
7.25,2956620,27,1
3.56,3380983,4482,0
2.54,689834,240,0
3.39,3336548,620,0
5.9,147180,68,1
5.54,6564815,98,1
2.53,2426917,4238,0
6.33,2551755,68,1
6.06,2946701,125,1
4.03,2845225,1037,0
3.96,2148476,1052,0
5.71,6007206,131,1
7.95,3384463,166,1
7.6,6270039,41,1
7.87,7124595,72,1
4.43,4663964,4194,0
2.61,3400754,1560,0
2.68,3345597,4248,0
2.82,4785905,2936,0
2.8,3548120,1901,0
6.25,1142432,183,1
7.45,7818906,85,1
7.04,4968532,89,1
3.19,2203106,4119,0
7.24,2568261,196,1
4.38,3412960,671,0
5.88,1414506,144,1
2.55,264950,3869,0
5.84,7015233,74,1
3.92,2984978,3532,0
7.58,386957,168,1
3.01,441168,1187,0
3.72,659223,2158,0
5.54,2145592,195,1
3.15,3009511,360,0
5.61,3366919,194,1
3.66,1035127,1206,0
3.57,2258089,3262,0
7.33,6055447,113,1
3.24,3682307,2537,0
5.75,2217495,147,1
5.91,9758821,171,1
7.86,2329801,188,1
3.13,3389427,1690,0
4.03,2653774,1594,0
7.13,6277281,25,1
3.18,1694807,2756,0
6.7,9421523,51,1
2.7,2747070,2691,0
5.84,1407749,118,1
7.14,2518722,93,1
6.21,2152198,41,1
6.26,6709002,172,1
3.61,4613427,1799,0
7.62,4111984,73,1
3.84,1206524,4465,0
6.22,5729649,172,1
7.61,3364005,49,1
5.59,9128698,59,1
3.93,1019210,2387,0
4.2,4707861,3832,0
5.63,6110961,155,1
7.33,6782516,167,1
6.55,405994,148,1
7.16,9293498,116,1
3.4,4086472,194,0
4.33,684769,4081,0
2.51,2507466,2100,0
5.71,4941164,143,1
3.99,3763335,3536,0
3.17,3692079,4611,0
6.33,8950177,161,1
6.33,6650147,81,1
3.47,1262030,3733,0
7.4,8709072,59,1
3.15,2593033,2568,0
7.87,3203858,138,1
3.03,4765187,2288,0
3.05,3300545,505,0
2.79,4290740,2230,0
3.76,4376307,3246,0
5.59,332807,123,1
3.01,2332923,3423,0
7.77,4618625,155,1
7.53,8747260,57,1
2.86,1404053,3215,0
7.49,857271,66,1
6.36,2984954,79,1
4.07,3299260,1659,0
5.89,2558119,64,1
6.29,221046,89,1
7.09,1817467,75,1
7.41,4129003,132,1
6.55,2264453,68,1
6.22,5066954,143,1
2.54,244520,4557,0
3.0,417632,1316,0
3.31,4524256,2717,0
7.48,916949,88,1
4.07,878175,1913,0
4.21,3919263,167,0
5.93,9309159,199,1
6.22,2674464,40,1
2.93,3040278,1588,0
6.22,4997877,191,1
6.79,1249406,194,1
7.95,9620862,74,1
6.57,2913412,93,1
3.0,4464682,2054,0
5.81,9672254,106,1
4.39,2239448,3227,0
3.82,120802,4819,0
6.59,815699,28,1
3.03,560239,2250,0
6.09,1742129,83,1
5.83,1075642,155,1
5.63,5854641,44,1
4.33,883659,963,0
6.16,944201,145,1
4.0,865501,371,0
2.76,3950165,3865,0
3.47,2964055,678,0
2.67,2095646,4493,0
7.62,7718293,161,1
2.73,4902502,1151,0
3.77,4733467,3736,0
3.58,3108144,1756,0
6.89,2875515,102,1
6.51,2665199,106,1
4.31,1514106,4724,0
5.88,1126735,58,1
2.7,649667,3143,0
7.67,836526,75,1
3.0,298884,4933,0
4.34,3595850,3928,0
3.7,1982251,2940,0
3.64,279443,179,0
3.95,2038865,1953,0
6.96,1784656,175,1
6.14,2807607,76,1
3.82,2772249,656,0
4.49,4250771,246,0
3.64,1618020,4166,0
4.44,1604496,1158,0
6.32,5906987,131,1
7.51,2248627,41,1
6.75,6885697,52,1
3.56,4416075,1101,0
7.15,2492132,175,1
4.18,4944610,4275,0
4.02,4587203,2503,0
4.49,3423377,4310,0
2.81,4746511,605,0
7.13,4409497,49,1
3.62,194665,1043,0
7.37,1857153,185,1
5.73,9354731,138,1
3.44,4513038,4303,0
5.68,1997057,99,1
2.8,4051271,4481,0
7.48,6000968,125,1
7.85,5144459,112,1
3.65,3025829,678,0
4.04,2824121,3505,0
2.7,287451,465,0
7.95,9839927,142,1
3.36,1306452,4554,0
6.49,7203959,22,1
3.06,632587,3625,0
2.54,2160425,1092,0
7.22,2331189,88,1
4.05,3009604,4077,0
6.77,411200,58,1
2.52,1585794,1693,0
4.48,3522504,4819,0
7.75,4475847,86,1
3.24,3127919,1002,0
2.72,2052620,3550,0
6.88,8496174,70,1
7.33,6409468,135,1
4.48,4487175,1122,0
2.97,2477901,664,0
5.7,9333366,95,1
7.11,4852216,125,1
7.31,6707401,144,1
2.53,4289091,2201,0
5.8,5443261,118,1
6.6,5072074,151,1
3.29,2368784,630,0
3.1,1836921,3135,0
6.8,8016795,27,1
7.18,988058,171,1
7.54,5161566,25,1
7.91,7278747,35,1
3.1,3731068,3412,0
5.99,7576905,83,1
3.71,832097,4302,0
6.87,6000682,195,1
3.97,2900224,2760,0
6.15,6588493,119,1
3.34,3553101,4941,0
5.91,8265681,115,1
2.53,3689148,774,0
5.94,2789958,72,1
2.62,4813763,1074,0
7.02,9940923,101,1
3.14,1383965,3277,0
6.56,4716043,80,1
3.5,2801403,1115,0
7.45,982034,62,1
5.97,9287208,104,1
2.57,4122267,909,0
6.04,6838642,43,1
7.95,5445643,126,1
6.59,4340773,157,1
5.63,5576460,120,1
7.12,6885165,166,1
7.1,8972646,149,1
6.66,2085987,153,1
7.12,7382402,60,1
3.8,2982959,171,0
3.62,4568576,1915,0
5.91,6165475,161,1
5.84,6085464,128,1
3.52,3420040,162,0
7.3,8661128,37,1
3.21,4665523,4149,0
7.42,4033853,197,1
4.4,4782525,4702,0
3.36,2262475,566,0
7.75,5715295,60,1
7.72,3169867,36,1
3.96,2958892,1498,0
3.97,3693918,3616,0
2.97,1491453,4787,0
7.31,1661888,109,1
5.7,2446421,39,1
7.18,561550,188,1
4.07,2228009,4212,0
6.06,6080652,135,1
7.5,7996019,179,1
6.35,7166324,46,1
3.21,4149586,1284,0
3.1,3179339,2312,0
6.34,4419560,98,1
4.04,3217306,649,0
4.44,4437697,2340,0
6.59,783010,179,1
7.04,416845,63,1
6.57,6999037,141,1
3.75,1409481,1289,0
5.85,3744594,165,1
4.24,4570820,496,0
4.2,1701525,3923,0
4.29,1545001,1178,0
4.42,3499801,1513,0
7.32,4124669,39,1
4.33,581424,4509,0
4.18,586800,3860,0
3.24,659384,391,0
5.59,228130,123,1
3.6,4084474,3020,0
6.16,9256795,169,1
3.76,434010,3471,0
7.35,229506,67,1
4.28,1318978,4552,0
2.95,4795628,1693,0
2.65,1079414,2517,0
6.52,4784219,153,1
5.72,7085801,88,1
6.28,4628057,74,1
3.37,28103,218,0
2.5,3024635,2308,0
3.41,957637,3009,0
6.68,7025426,90,1
7.78,339032,89,1
6.66,7627951,91,1
7.87,9347925,93,1
3.73,2168755,1235,0
7.66,7138075,51,1
6.08,1097153,46,1
6.35,5714172,64,1
3.97,3067625,3392,0
6.49,1791382,55,1
6.37,9287848,181,1
7.12,7760227,178,1
5.87,2417794,121,1
4.27,244744,3582,0
7.65,8212910,171,1
4.19,1568335,4389,0
4.23,705489,880,0
7.85,2744458,126,1
3.76,2641566,2839,0
7.61,602341,123,1
3.5,3557208,1159,0
7.55,3335780,191,1
6.29,4707360,75,1
3.98,4623452,470,0
5.53,282823,168,1
5.53,2144154,124,1
3.35,2236643,4032,0
6.72,4471944,100,1
3.48,3441701,2084,0
3.03,3854352,484,0
4.08,4947628,1995,0
3.71,117115,2098,0
6.09,7457102,128,1
2.52,2498052,216,0
6.84,7239104,160,1
7.85,4893684,142,1
5.59,7770183,172,1
6.18,746740,165,1
7.98,283259,181,1
2.66,1898256,778,0
3.28,339091,3337,0
2.82,3008649,4148,0
6.98,2910832,104,1
6.46,4820234,168,1
6.31,1259611,93,1
5.69,7914814,72,1
6.39,8995367,127,1
7.96,175055,167,1
2.59,4651467,149,0
3.08,1914513,4923,0
7.98,6758859,77,1
3.98,3182254,2555,0
7.02,3746310,189,1
2.7,3672883,3574,0
3.64,2237429,836,0
4.32,2487225,4381,0
3.29,58752,3480,0
7.06,7671908,152,1
3.59,1074222,4251,0
4.42,87573,4776,0
6.75,5946152,93,1
3.61,2502431,1018,0
7.19,5276500,127,1
3.96,918651,4792,0
6.01,8741494,71,1
7.94,5917064,136,1
3.39,4940535,4352,0
5.94,4882325,120,1
4.19,2524552,321,0
3.35,2768815,4406,0
2.74,2542345,4551,0
2.62,1641944,818,0
3.66,3978998,737,0
4.35,2085055,3699,0
7.8,2615440,68,1
3.65,3938263,178,0
3.05,2613696,685,0
7.25,3409328,126,1
7.53,9770092,164,1
3.14,464085,4701,0
6.1,4593352,31,1
7.81,9866052,109,1
4.2,1256954,2565,0
7.22,467620,158,1
5.87,4772067,73,1
5.76,9302897,171,1
6.79,6514795,88,1
6.43,4637959,116,1
6.0,9344672,149,1
7.52,3250107,142,1
2.53,176970,3066,0
3.69,4493140,3198,0
